Experiment Name,genotyping
Run Start,12/1/2011 9:42:07 AM
Run Finish,12/1/2011 11:03:41 AM
Application,High Resolution Melt/DNA Binding Dye/DNA/PCR with HRM Curve
Instrument,Eco™ Real-Time PCR System
Software,Eco™ Software v3.0.16.0
Last Modified,12/1/2011 11:19:13 AM

Assay Name,Reference,
z14 HRMA,,

Well,Exclude,Sample Name,Assay Name,Assay Role,Call,Cq,Cq Mean,Std. Dev. Cq,Baseline Setting,Threshold Setting,Baseline Start,Baseline End,Cq Threshold,Pre-Melt Start,Pre-Melt End,Post-Melt Start,Post-Melt End,Tm1,Tm2,Tm3,
E1,,z24,z14 HRMA,Unknown,,20.0310,21.0563047,1.1289628,Auto,Manual,7,14,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
E2,,z24,z14 HRMA,Unknown,,22.4076,21.0563047,1.1289628,Auto,Manual,7,17,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
E3,,z24,z14 HRMA,Unknown,,21.0548,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.90000000000001,,,
E4,,z24,z14 HRMA,Unknown,,21.1376,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.90000000000001,,,
E5,,z24,z14 HRMA,Unknown,,19.4009,21.0563047,1.1289628,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.7,82,,
E6,,z24,z14 HRMA,Unknown,,21.0793,21.0563047,1.1289628,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.90000000000001,,,
E7,,z24,z14 HRMA,Unknown,,20.7127,21.0563047,1.1289628,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.90000000000001,,,
E8,Excluded,z24,z14 HRMA,Unknown,,,,,Auto,Manual,3,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,,,,
F1,,z24,z14 HRMA,Unknown,,21.0935,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.2,,
F2,,z24,z14 HRMA,Unknown,,21.5351,21.0563047,1.1289628,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
F3,Excluded,water,z14 HRMA,Unknown,,,,,Auto,Manual,3,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,,,,
F4,,z24,z14 HRMA,Unknown,,21.1376,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
F5,,z24,z14 HRMA,Unknown,,22.4000,21.0563047,1.1289628,Auto,Manual,7,17,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
F6,,z24,z14 HRMA,Unknown,,21.3135,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.90000000000001,,,
F7,,z24,z14 HRMA,Unknown,Heterozygous,21.2818,21.0563047,1.1289628,Auto,Manual,6,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
F8,,z24,z14 HRMA,Unknown,,20.5519,21.0563047,1.1289628,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.09999999999999,,
