"Pos";"Name";"Ct SYBR";"Ct Mean SYBR";"Ct Dev. SYBR";"Amount SYBR";"Target SYBR";"Type";"NRQ";"NRQerror"
"E10";"";33.77;"";"";"";"";"unknown";"";""
"E11";"";"";"";"";"";"";"unknown";"";""
"E12";"";"";"";"";"";"";"unknown";"";""
"F1";"";36.08;34.94;1.07;"";"";"unknown";"";""
"F2";"";34.78;34.94;1.07;"";"";"unknown";"";""
"F3";"";33.96;34.94;1.07;"";"";"unknown";"";""
"F4";"";"";"";"";"";"";"unknown";"";""
"F5";"";"";"";"";"";"";"unknown";"";""
"F6";"";"";"";"";"";"";"unknown";"";""
"F7";"";"";"";"";"";"";"unknown";"";""
"F8";"";"";"";"";"";"";"unknown";"";""
"F9";"";"";"";"";"";"";"unknown";"";""
"F10";"";"";"";"";"";"";"unknown";"";""
"F11";"";"";"";"";"";"";"unknown";"";""
"F12";"";"";"";"";"";"";"unknown";"";""
"G1";"";17.33;17.21;0.12;"";"";"unknown";"";""
"G2";"";17.08;17.21;0.12;"";"";"unknown";"";""
"G3";"";17.21;17.21;0.12;"";"";"unknown";"";""
"G4";"";23.02;23.1;0.07;"";"";"unknown";"";""
"G5";"";23.16;23.1;0.07;"";"";"unknown";"";""
"G6";"";23.12;23.1;0.07;"";"";"unknown";"";""
"G7";"";27.55;"";"";"";"";"unknown";"";""
"G8";"";"";"";"";"";"";"unknown";"";""
"G9";"";"";"";"";"";"";"unknown";"";""
"G10";"";"";"";"";"";"";"unknown";"";""
"G11";"";"";"";"";"";"";"unknown";"";""
"G12";"";"";"";"";"";"";"unknown";"";""
"H1";"";17.91;17.91;0.03;"";"";"unknown";"";""
"H2";"";17.89;17.91;0.03;"";"";"unknown";"";""
"H3";"";17.95;17.91;0.03;"";"";"unknown";"";""
"H4";"";26.72;26.63;0.15;"";"";"unknown";"";""
"H5";"";26.71;26.63;0.15;"";"";"unknown";"";""
"H6";"";26.46;26.63;0.15;"";"";"unknown";"";""
"H7";"";26.27;26.27;0.04;"";"";"unknown";"";""
"H8";"";26.23;26.27;0.04;"";"";"unknown";"";""
"H9";"";26.31;26.27;0.04;"";"";"unknown";"";""
"H10";"";"";"";"";"";"";"unknown";"";""
"H11";"";"";"";"";"";"";"unknown";"";""
"H12";"";25.03;"";"";"";"";"unknown";"";""

"Analysis Parameters"
"GOI";"act"
"SOI";"ctrl"
