Run Summary        (Smart Cycler 2.0d)
Run Name:,dotA-umeritvena
Started At:,"May 25, 2010 07:42 AM"
Number of Sites:,16

Cycle Data

Instrument A
,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,A10,A10,A10,A10,A11,A11,A11,A11,A11,A11,A11,A11,A12,A12,A12,A12,A12,A12,A12,A12,A13,A13,A13,A13,A13,A13,A13,A13,A14,A14,A14,A14,A14,A14,A14,A14,A15,A15,A15,A15,A15,A15,A15,A15,A16,A16,A16,A16,A16,A16,A16,A16
,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
Cycle #,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
1,1.0861538461538462,0.0,-1.2842127842127842,0.0,-0.16014586014586008,0.0,0.4477477477477478,0.0,3.175384615384615,0.0,0.011111111111111021,0.0,-0.058000858000858004,0.0,0.8083226083226083,0.0,1.6769230769230774,0.0,-4.186529386529385,0.0,-0.3628056628056628,0.0,0.0,0.0,2.079802955665024,0.0,-8.877434577434578,0.0,0.9586014586014586,0.0,-0.04405834405834406,0.0,1.8610837438423657,0.0,-1.4788502788502789,0.0,-0.2713856713856714,0.0,0.05512655512655512,0.0,1.889061920652579,0.0,-1.756499356499357,0.0,-0.009995709995709994,0.0,0.26117546117546114,0.0,4.102941176470588,0.0,-5.795280995280995,0.0,0.0,0.0,0.03650793650793649,0.0,0.818627450980395,0.0,-7.371256971256972,0.0,0.19073359073359072,0.0,0.0,0.0,2.0352049910873444,0.0,-2.5241527241527235,0.0,1.0,0.0,-0.2853281853281853,0.0,-0.718790218790219,0.0,-6.64920634920635,0.0,0.8102531102531102,0.0,-0.8470613470613471,0.0,-0.9568425568425579,0.0,-6.046932646932646,0.0,0.0,0.0,1.1625053625053625,0.0,0.9113256113256105,0.0,-6.313685113685114,0.0,0.6093093093093093,0.0,0.0,0.0,-0.5721925133689838,0.0,-5.891891891891891,0.0,-0.24272844272844274,0.0,-0.34066924066924065,0.0,0.948906048906049,0.0,-2.168082368082368,0.0,-0.22230802230802232,0.0,0.002659802659802656,0.0,0.32359502359502373,0.0,-8.06083226083226,0.0,-0.052037752037752016,0.0,0.0,0.0,1.435564135564136,0.0,-2.3880678708264917,0.0,-0.0993993993993994,0.0,0.08961818961818963,0.0
2,1.3807692307692296,0.0,-2.3614328614328746,0.0,-0.11522951522951518,0.0,0.45405405405405413,0.0,1.4969230769230812,0.0,0.9111111111111168,0.0,-0.05401115401115401,0.0,-0.1918060918060918,0.0,0.9246153846153818,0.0,-2.291548691548696,0.0,-0.34980694980694976,0.0,0.0,0.0,1.4029556650246282,0.0,-5.773316173316182,0.0,-0.03818103818103817,0.0,-0.039425139425139345,0.0,2.2251231527093664,0.0,-1.3583869583869492,0.0,0.7386529386529387,0.0,0.049978549978549974,0.0,1.2049684835001804,0.0,-1.6011583011582884,0.0,0.0033891033891033906,0.0,0.2619476619476619,0.0,3.365975935828879,0.0,-3.7053196053196076,0.0,0.0,0.0,0.041269841269841234,0.0,0.1625445632798601,0.0,-6.259673959673965,0.0,0.21287001287001292,0.0,0.0,0.0,2.227384135472367,0.0,-1.3473187473187336,0.0,0.0,0.0,-0.2759330759330759,0.0,-0.5109395109395088,0.0,-5.473015873015879,0.0,0.8332904332904333,0.0,-0.845130845130845,0.0,-0.7056199056199103,0.0,-4.876791076791079,0.0,0.0,0.0,1.145903045903046,0.0,0.21389961389961545,0.0,-4.044573144573139,0.0,0.621021021021021,0.0,0.0,0.0,-0.3262032085561459,0.0,-4.761261261261257,0.0,-0.18880308880308883,0.0,0.6712998712998713,0.0,1.2691119691119708,0.0,-1.8850707850707822,0.0,-0.19000429000429003,0.0,0.0012441012441012404,0.0,-0.42659802659802365,0.0,-6.990819390819386,0.0,-0.04315744315744314,0.0,0.0,0.0,1.6956670956670983,0.0,-2.3169129720853925,0.0,-0.0921921921921922,0.0,0.09836979836979837,0.0
3,0.6753846153846131,0.0,-2.4386529386529365,25.0,-0.07031317031317026,0.0,0.4603603603603604,-6.25,1.8184615384615335,6.25,0.8111111111111224,-6.25,-0.05002145002145001,0.0,0.8080652080652081,0.0,1.172307692307686,0.0,-1.3965679965680076,-6.25,-0.33680823680823674,0.0,0.0,0.0,0.7261083743842326,12.5,-4.669197769197758,-6.25,-0.03496353496353496,6.25,-0.034791934791934855,0.0,1.589162561576353,-6.25,-0.237923637923648,0.0,0.7486915486915487,-6.25,0.04483054483054483,0.0,2.520875046347796,-12.5,-0.44581724581724824,6.25,0.016773916773916774,0.0,0.26271986271986264,0.0,2.62901069518717,6.25,-2.6153582153582193,-6.25,0.0,0.0,0.04603174603174598,-6.25,0.5064616755793252,0.0,-4.148090948090957,-6.25,0.2350064350064349,0.0,0.0,0.0,2.4195632798574036,-6.25,-1.170484770484772,-6.25,0.0,6.25,-0.2665379665379665,0.0,0.6969111969112013,-12.5,-5.296825396825409,6.25,0.8563277563277563,0.0,0.1567996567996568,-6.25,-0.4543972543972485,0.0,-2.706649506649512,-12.5,0.0,0.0,0.12930072930072928,6.25,0.5164736164736203,0.0,-3.7754611754611638,-6.25,0.6327327327327327,-6.25,0.0,0.0,-0.08021390374332223,-6.25,-3.6306306306306233,0.0,-0.13487773487773488,0.0,0.6832689832689833,-12.5,1.5893178893178925,-6.25,-0.6020592020591965,0.0,-0.15770055770055774,0.0,-1.716001716001754E-4,0.0,-0.17679107679107103,12.5,-5.9208065208065115,6.25,-0.03427713427713426,0.0,0.0,0.0,0.9557700557700534,6.25,-0.24575807334429312,-12.5,-0.08498498498498498,0.0,-0.892878592878593,6.25
4,-0.030000000000003507,12.5,-0.5158730158730269,0.0,-1.0253968253968253,12.5,-0.5333333333333333,6.25,1.14,0.0,0.7111111111110997,0.0,-0.046031746031746014,0.0,-0.19206349206349205,0.0,1.4200000000000046,-6.25,-0.5015873015873191,-12.5,-0.3238095238095238,0.0,0.0,0.0,1.0492610837438368,0.0,-3.565079365079363,0.0,-0.03174603174603174,0.0,-0.030158730158730142,0.0,0.9532019704433535,6.25,-0.11746031746031836,0.0,-0.24126984126984133,6.25,0.03968253968253968,0.0,1.8367816091953975,-6.25,0.7095238095238203,-6.25,0.03015873015873016,0.0,0.2634920634920635,0.0,2.8920454545454612,-6.25,-1.525396825396831,0.0,0.0,0.0,0.050793650793650724,0.0,0.8503787878787903,-6.25,-3.0365079365079484,-6.25,0.25714285714285706,0.0,0.0,0.0,1.611742424242426,0.0,-0.9936507936507821,0.0,0.0,0.0,-0.2571428571428571,6.25,-0.09523809523808861,0.0,-4.12063492063491,6.25,0.8793650793650793,-6.25,0.15873015873015883,-6.25,-0.20317460317460082,0.0,-2.5365079365079453,0.0,0.0,0.0,0.11269841269841269,6.25,0.8190476190476252,-12.5,-3.5063492063491886,6.25,0.6444444444444444,0.0,0.0,0.0,0.16577540106951566,0.0,-2.4999999999999893,-6.25,-0.08095238095238094,0.0,0.6952380952380952,0.0,0.9095238095238143,6.25,0.6809523809523893,-12.5,-0.12539682539682545,0.0,-0.0015873015873015906,0.0,0.07301587301586737,0.0,-4.850793650793637,6.25,-0.025396825396825373,0.0,0.0,0.0,1.2158730158730158,0.0,0.8253968253968346,-18.75,-0.07777777777777778,0.0,0.11587301587301585,0.0
5,0.26461538461537987,6.25,0.40690690690691117,-18.75,0.019519519519519565,0.0,-0.5270270270270271,6.25,1.4615384615384663,-6.25,0.6111111111111054,6.25,-0.04204204204204202,0.0,0.8078078078078078,0.0,0.667692307692309,0.0,0.3933933933933694,-6.25,-0.3108108108108108,0.0,0.0,0.0,1.372413793103441,-6.25,-1.460960960960968,-12.5,-0.028528528528528527,0.0,-0.02552552552552543,0.0,0.3172413793103401,12.5,1.0030030030030113,-6.25,0.7687687687687688,0.0,0.03453453453453453,0.0,1.152688172043013,6.25,1.8648648648648605,-18.75,0.04354354354354355,0.0,0.26426426426426425,0.0,2.155080213903738,0.0,-0.4354354354354427,-6.25,0.0,0.0,-0.9444444444444444,12.5,0.19429590017825538,6.25,-1.9249249249249123,0.0,0.27927927927927926,0.0,0.0,0.0,1.8039215686274486,-6.25,-0.8168168168168206,0.0,0.0,0.0,-0.24774774774774774,0.0,0.11261261261260731,6.25,-2.94444444444444,0.0,0.9024024024024023,-6.25,0.16066066066066065,0.0,0.04804804804804681,0.0,-1.3663663663663783,0.0,0.0,0.0,0.09609609609609608,0.0,0.12162162162161597,0.0,-2.2372372372372133,-6.25,-0.34384384384384387,12.5,0.0,0.0,-0.5882352941176465,12.5,-1.3693693693693554,0.0,-0.02702702702702703,0.0,-0.2927927927927928,12.5,1.229729729729736,0.0,0.9639639639639751,-6.25,-0.09309309309309317,0.0,-0.003003003003003007,0.0,1.32282282282282,-12.5,-2.7807807807807907,-12.5,-0.016516516516516495,0.0,0.0,0.0,1.475975975975978,-6.25,-0.10344827586206617,6.25,-0.07057057057057058,0.0,-0.8753753753753755,6.25
6,0.5592307692307633,-6.25,1.3296868296868207,-12.5,0.06443586443586448,-12.5,-0.5207207207207207,0.0,0.7830769230769187,0.0,0.5111111111111111,6.25,-0.03805233805233802,0.0,-0.1923208923208923,0.0,0.9153846153846134,0.0,-0.7116259116258854,12.5,-0.2978120978120978,0.0,0.0,0.0,0.6955665024630596,6.25,-1.3568425568425442,0.0,-0.025311025311025307,0.0,-0.02089232089232094,0.0,0.6812807881773407,0.0,1.1234663234663125,-6.25,-0.2211926211926212,6.25,0.029386529386529383,0.0,1.4685947348906145,0.0,2.020205920205929,-12.5,0.05692835692835693,0.0,0.265036465036465,0.0,1.4181149732620293,12.5,0.6545259545259455,-18.75,0.0,0.0,0.060317460317460325,0.0,0.5382130124777205,0.0,-0.8133419133419043,-12.5,0.30141570141570145,0.0,0.0,0.0,0.996100713012471,0.0,-0.6399828399828307,0.0,0.0,0.0,0.7616473616473617,-12.5,0.32046332046331744,-6.25,-1.7682539682539697,0.0,-0.07456027456027456,6.25,0.16259116259116269,-6.25,0.29927069927069444,0.0,-0.19622479622478295,-12.5,0.0,0.0,0.07949377949377948,0.0,-0.5758043758043792,12.5,-1.968125268125295,-6.25,0.6678678678678678,-6.25,0.0,0.0,0.6577540106951913,0.0,-1.2387387387387498,6.25,0.026898326898326885,0.0,0.7191763191763192,0.0,1.5499356499356436,-12.5,1.246975546975561,-6.25,-0.060789360789360876,0.0,-0.0044187044187044226,0.0,0.5726297726297727,0.0,-1.7107679107679166,-12.5,-0.007636207636207617,0.0,0.0,0.0,0.7360789360789332,0.0,0.9677066228790331,0.0,-0.06336336336336337,0.0,0.13337623337623344,0.0
7,0.8538461538461609,-6.25,0.2524667524667588,6.25,0.10935220935220939,-6.25,-0.5144144144144145,0.0,0.10461538461538507,12.5,1.4111111111111168,-12.5,-0.034062634062634024,0.0,0.8075504075504075,-6.25,0.16307692307691765,6.25,1.183354783354803,-12.5,-0.28481338481338475,6.25,0.0,0.0,1.0187192118226638,0.0,-0.25272415272414883,0.0,-0.02209352209352209,0.0,-0.016259116259116226,0.0,1.0453201970443415,-6.25,1.2439296439296421,-6.25,0.7888459888459889,-6.25,0.024238524238524232,0.0,0.7845012977382301,0.0,1.1755469755469692,0.0,0.07031317031317032,0.0,0.26580866580866575,0.0,1.6811497326203204,0.0,0.7444873444873338,-6.25,0.0,0.0,0.06507936507936507,-6.25,0.8821301247771856,-12.5,0.2982410982411035,-12.5,0.3235521235521234,0.0,0.0,0.0,0.18827985739750774,12.5,-0.46314886314886916,6.25,0.0,0.0,-0.22895752895752897,0.0,0.5283140283140276,-6.25,-0.5920634920634995,-12.5,-0.05152295152295158,6.25,0.1645216645216645,0.0,0.5504933504933563,-6.25,-0.026083226083216005,0.0,0.0,0.0,0.06289146289146288,0.0,-0.2732303732303742,6.25,-1.6990132990133198,6.25,0.6795795795795795,-12.5,0.0,0.0,0.903743315508015,-12.5,0.891891891891884,-12.5,0.08082368082368085,0.0,0.7311454311454312,-12.5,0.8701415701415653,0.0,1.5299871299871184,-6.25,-0.028485628485628474,0.0,-0.005834405834405837,0.0,0.8224367224367253,0.0,-1.6407550407550422,6.25,0.0012441012441012677,0.0,0.0,0.0,0.9961818961818955,6.25,1.0388615216201325,-12.5,-0.05615615615615615,0.0,0.14212784212784219,-6.25
8,0.14846153846154428,0.0,1.1752466752466684,-6.25,-0.8457314457314457,12.5,-0.5081081081081081,0.0,0.4261538461538515,0.0,1.3111111111111224,-12.5,-0.030072930072930024,0.0,-0.19257829257829256,0.0,0.41076923076923616,0.0,1.0783354783354915,-18.75,-0.27181467181467184,0.0,0.0,0.0,1.341871921182268,-6.25,0.8513942513942465,-12.5,-0.018876018876018873,0.0,-0.011625911625911733,0.0,0.409359605911328,0.0,1.3643929643929718,-6.25,0.798884598884599,-12.5,0.019090519090519086,0.0,1.1004078605858316,0.0,1.3308880308880378,0.0,0.0836979836979837,0.0,0.2665808665808666,0.0,1.9441844919786115,-6.25,-0.165551265551278,6.25,0.0,0.0,0.06984126984126982,0.0,0.22604723707665064,0.0,-0.5901758901758886,6.25,0.3456885456885456,0.0,0.0,0.0,0.3804590017825302,6.25,-0.2863148863148792,6.25,0.0,0.0,-0.21956241956241956,12.5,-0.2638352638352623,6.25,0.5841269841269707,-12.5,-0.028485628485628498,0.0,-0.8335478335478335,12.5,0.801716001716004,-6.25,0.14405834405835094,6.25,0.0,0.0,0.04628914628914627,0.0,0.029343629343630693,0.0,-1.4299013299013446,6.25,-0.30870870870870865,6.25,0.0,0.0,1.1497326203208529,-6.25,1.022522522522518,-12.5,0.13474903474903477,0.0,0.7431145431145432,-6.25,0.19034749034748707,6.25,0.8129987129987041,0.0,0.003818103818103705,0.0,-0.007250107250107253,0.0,1.072243672243678,0.0,-0.5707421707421677,0.0,0.010124410124410146,0.0,0.0,0.0,0.2562848562848578,6.25,1.1100164203612601,0.0,-0.048948948948948946,0.0,0.15087945087945093,0.0
