"Excel Analysed Data Export"
"(C)Copyright 2003 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File";"Run 2010-09-22 (3).rex"
"Date";"22/09/2010"
"Time";"16:33:56"

"Quantitative analysis of Cycling A.FAM (Page 1)"

"No.";"Name";"Type";"Ct";"Given Conc (ng/ul)";"Calc Conc (ng/ul)";"% Var";"Rep. Ct";"Rep. Ct Std. Dev.";"Rep. Ct (95% CI)";"Rep. Calc. Conc.";"Rep. Calc. Conc. (95% CI)"
"46";"Col 21j 31+32 1/5";"Unknown";"26,77";"";",02";"";"26,77";"";"";",02";"[,02 , ,02]"
"47";"Col 21j 31+32 1/10";"Unknown";"27,92";"";",01";"";"27,92";"";"";",01";"[,01 , ,01]"
"48";"Col 21j 31+32 1/20";"Unknown";"29,63";"";",00";"";"29,63";"";"";",00";"[,00 , ,00]"
"49";"SP1 21j 31+32 1/5";"Unknown";"27,51";"";",01";"";"27,51";"";"";",01";"[,01 , ,01]"
"50";"SP1 21j 31+32 1/10";"Unknown";"28,21";"";",01";"";"28,21";"";"";",01";"[,01 , ,01]"
"51";"SP1 21j 31+32 1/20";"Unknown";"29,12";"";",00";"";"29,12";"";"";",00";"[,00 , ,00]"
"52";"SP3 21j 31+32 1/5";"Unknown";"26,55";"";",02";"";"26,55";"";"";",02";"[,02 , ,03]"
"53";"SP3 21j 31+32 1/10";"Unknown";"27,81";"";",01";"";"27,81";"";"";",01";"[,01 , ,01]"
"54";"SP3 21j 31+32 1/20";"Unknown";"28,83";"";",01";"";"28,83";"";"";",01";"[,01 , ,01]"
"55";"Col 10j oGV25+26 1/5";"Unknown";"31,99";"";",00";"";"31,99";"";"";",00";"[,00 , ,00]"
"56";"Col 10j oGV25+26 1/10";"Unknown";"31,13";"";",00";"";"31,13";"";"";",00";"[,00 , ,00]"
"57";"Col 10j oGV25+26+ 1/20";"Unknown";"31,28";"";",00";"";"31,28";"";"";",00";"[,00 , ,00]"
"58";"SP1 10j oGV25+26 1/5";"Unknown";"25,05";"";",06";"";"25,05";"";"";",06";"[,06 , ,07]"
"59";"SP1 10j oGV25+26 1/10";"Unknown";"24,79";"";",07";"";"24,79";"";"";",07";"[,07 , ,08]"
"60";"SP110j oGV25+26 1/20";"Unknown";"26,37";"";",03";"";"26,37";"";"";",03";"[,03 , ,03]"
"61";"SP3 10j oGV25+261/5";"Unknown";"29,78";"";",00";"";"29,78";"";"";",00";"[,00 , ,00]"
"62";"SP3 10j oGV25+26 1/10";"Unknown";"29,67";"";",00";"";"29,67";"";"";",00";"[,00 , ,00]"
"63";"SP3 10j oGV25+26 1/20";"Unknown";"38,95";"";",00";"";"38,95";"";"";",00";"[,00 , ,00]"
"64";"Col 21j oGV25+26 1/5";"Unknown";"";"";"";"";"";"";"";"";""
"65";"Col 21j oGV25+26 1/10";"Unknown";"33,16";"";",00";"";"33,16";"";"";",00";"[,00 , ,00]"
"66";"Col 21j oGV34+35 1/20";"Unknown";"";"";"";"";"";"";"";"";""
"67";"SP1 21j oGV25+26 1/5";"Unknown";"29,04";"";",00";"";"29,04";"";"";",00";"[,00 , ,01]"
"68";"SP1 21j oGV25+26 1/10";"Unknown";"22,71";"";",28";"";"22,71";"";"";",28";"[,27 , ,29]"
"69";"SP1 21j oGV25+26 1/20";"Unknown";"24,66";"";",08";"";"24,66";"";"";",08";"[,08 , ,08]"
"70";"SP3 21j oGV25+26 1/5";"Unknown";"25,61";"";",04";"";"25,61";"";"";",04";"[,04 , ,05]"
"71";"SP3 21j oGV25+26 1/10";"Unknown";"26,79";"";",02";"";"26,79";"";"";",02";"[,02 , ,02]"
"72";"SP3 21j oGV25+261/20";"Unknown";"27,28";"";",02";"";"27,28";"";"";",02";"[,01 , ,02]"
