"Excel Analysed Data Export"
"(C)Copyright 2003 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File";"Run 2010-09-22 (3).rex"
"Date";"22/09/2010"
"Time";"16:33:56"

"Quantitative analysis of Cycling A.FAM (Page 1)"

"No.";"Name";"Type";"Ct";"Given Conc (ng/ul)";"Calc Conc (ng/ul)";"% Var";"Rep. Ct";"Rep. Ct Std. Dev.";"Rep. Ct (95% CI)";"Rep. Calc. Conc.";"Rep. Calc. Conc. (95% CI)"
"G8";"Col 10j oGV25+26 1/10";"Unknown";"31,13";"";",00";"";"31,13";"";"";",00";"[,00 , ,00]"
"H1";"Col 10j oGV25+26+ 1/20";"Unknown";"31,28";"";",00";"";"31,28";"";"";",00";"[,00 , ,00]"
"H2";"SP1 10j oGV25+26 1/5";"Unknown";"25,05";"";",06";"";"25,05";"";"";",06";"[,06 , ,07]"
"H3";"SP1 10j oGV25+26 1/10";"Unknown";"24,79";"";",07";"";"24,79";"";"";",07";"[,07 , ,08]"
"H4";"SP110j oGV25+26 1/20";"Unknown";"26,37";"";",03";"";"26,37";"";"";",03";"[,03 , ,03]"
"H5";"SP3 10j oGV25+261/5";"Unknown";"29,78";"";",00";"";"29,78";"";"";",00";"[,00 , ,00]"
"H6";"SP3 10j oGV25+26 1/10";"Unknown";"29,67";"";",00";"";"29,67";"";"";",00";"[,00 , ,00]"
"H7";"SP3 10j oGV25+26 1/20";"Unknown";"38,95";"";",00";"";"38,95";"";"";",00";"[,00 , ,00]"
"H8";"Col 21j oGV25+26 1/5";"Unknown";"";"";"";"";"";"";"";"";""
"I1";"Col 21j oGV25+26 1/10";"Unknown";"33,16";"";",00";"";"33,16";"";"";",00";"[,00 , ,00]"
"I2";"Col 21j oGV34+35 1/20";"Unknown";"";"";"";"";"";"";"";"";""
"I3";"SP1 21j oGV25+26 1/5";"Unknown";"29,04";"";",00";"";"29,04";"";"";",00";"[,00 , ,01]"
"I4";"SP1 21j oGV25+26 1/10";"Unknown";"22,71";"";",28";"";"22,71";"";"";",28";"[,27 , ,29]"
"I5";"SP1 21j oGV25+26 1/20";"Unknown";"24,66";"";",08";"";"24,66";"";"";",08";"[,08 , ,08]"
"I6";"SP3 21j oGV25+26 1/5";"Unknown";"25,61";"";",04";"";"25,61";"";"";",04";"[,04 , ,05]"
"I7";"SP3 21j oGV25+26 1/10";"Unknown";"26,79";"";",02";"";"26,79";"";"";",02";"[,02 , ,02]"
"I8";"SP3 21j oGV25+261/20";"Unknown";"27,28";"";",02";"";"27,28";"";"";",02";"[,01 , ,02]"



