"Excel Analysed Data Export"
"(C)Copyright 2003 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File";"Run 2010-09-22 (3).rex"
"Date";"22/09/2010"
"Time";"16:33:56"

"Quantitative analysis of Cycling A.FAM (Page 1)"

"No.";"Name";"Type";"Ct";"Given Conc (ng/ul)";"Calc Conc (ng/ul)";"% Var";"Rep. Ct";"Rep. Ct Std. Dev.";"Rep. Ct (95% CI)";"Rep. Calc. Conc.";"Rep. Calc. Conc. (95% CI)"
"A1";"Col 10j 38+39 1/5";"Unknown";"18,33";"";"4,54";"";"18,33";"";"";"4,54";"[4,49 , 4,59]"
"A2";"Col 10 j 38+39 1/10";"Unknown";"19,09";"";"2,81";"";"19,09";"";"";"2,81";"[2,78 , 2,83]"
"A3";"Col 10 j 38+39 1/20";"Unknown";"20,01";"";"1,56";"";"20,01";"";"";"1,56";"[1,55 , 1,58]"
"A4";"SP1 10j 38+39 1/5";"Unknown";"18,38";"";"4,40";"";"18,38";"";"";"4,40";"[4,35 , 4,45]"
"A5";"SP1 10 j 38+39 1/10";"Unknown";"19,55";"";"2,08";"";"19,55";"";"";"2,08";"[2,07 , 2,10]"
"A6";"SP1 10 j 38+39 1/20";"Unknown";"20,40";"";"1,22";"";"20,40";"";"";"1,22";"[1,20 , 1,23]"
"A7";"SP3 10j 38+39 1/5";"Unknown";"18,67";"";"3,66";"";"18,67";"";"";"3,66";"[3,62 , 3,69]"
"A8";"SP3 10 j 38+39 1/10";"Unknown";"19,42";"";"2,27";"";"19,42";"";"";"2,27";"[2,25 , 2,29]"
"B1";"SP3 10 j 38+39 1/20";"Unknown";"20,70";"";"1,01";"";"20,70";"";"";"1,01";"[1,00 , 1,02]"
"B2";"Col 21j 38+39 1/5";"Standard";"18,53";"4,00";"4,00";"0,0%";"18,53";"";"";"4,00";"[3,97 , 4,03]"
"B3";"Col 21j 38+39 1/10";"Standard";"19,62";"2,00";"2,00";"0,1%";"19,62";"";"";"2,00";"[1,99 , 2,01]"
"B4";"Col 21j 38+39 1/20";"Standard";"20,71";"1,00";"1,00";"0,0%";"20,71";"";"";"1,00";"[,99 , 1,01]"
"B5";"SP1 21j 38+39 1/5";"Unknown";"18,20";"";"4,94";"";"18,20";"";"";"4,94";"[4,89 , 5,00]"
"B6";"SP1 21j 38+39 1/10";"Unknown";"18,99";"";"2,99";"";"18,99";"";"";"2,99";"[2,96 , 3,01]"
"B7";"SP1 21j 38+39 1/20";"Unknown";"19,92";"";"1,65";"";"19,92";"";"";"1,65";"[1,64 , 1,67]"
"B8";"SP3 21j 38+39 1/5";"Unknown";"18,56";"";"3,92";"";"18,56";"";"";"3,92";"[3,87 , 3,96]"
"C1";"SP3 21j 38+39 1/10";"Unknown";"19,28";"";"2,49";"";"19,28";"";"";"2,49";"[2,47 , 2,51]"
"C2";"SP3 21j 38+39 1/20";"Unknown";"20,28";"";"1,32";"";"20,28";"";"";"1,32";"[1,30 , 1,33]"
"C3";"Col 10j oGV34+35 1/5";"Unknown";"25,74";"";",04";"";"25,74";"";"";",04";"[,04 , ,04]"
"C4";"Col 10j oGV34+35 1/10";"Unknown";"26,54";"";",02";"";"26,54";"";"";",02";"[,02 , ,03]"
"C5";"Col 10j oGV34+35 1/20";"Unknown";"28,26";"";",01";"";"28,26";"";"";",01";"[,01 , ,01]"
"C6";"SP1 10j oGV34+35 1/5";"Unknown";"23,77";"";",14";"";"23,77";"";"";",14";"[,14 , ,15]"
"C7";"SP1 10j oGV34+35 1/10";"Unknown";"24,53";"";",09";"";"24,53";"";"";",09";"[,09 , ,09]"
"C8";"SP110j oGV34+35 1/20";"Unknown";"25,66";"";",04";"";"25,66";"";"";",04";"[,04 , ,04]"
"D1";"SP3 10j oGV34+35 1/5";"Unknown";"26,61";"";",02";"";"26,61";"";"";",02";"[,02 , ,02]"
"D2";"SP3 10j oGV34+35 1/10";"Unknown";"28,29";"";",01";"";"28,29";"";"";",01";"[,01 , ,01]"
"D3";"SP3 10j oGV34+35 1/20";"Unknown";"28,86";"";",01";"";"28,86";"";"";",01";"[,01 , ,01]"
"D4";"Col 21j oGV34+35 1/5";"Unknown";"26,46";"";",03";"";"26,46";"";"";",03";"[,02 , ,03]"
"D5";"Col 21j oGV34+35 1/10";"Unknown";"27,47";"";",01";"";"27,47";"";"";",01";"[,01 , ,01]"
"D6";"Col 21j oGV34+35 1/20";"Unknown";"38,90";"";",00";"";"38,90";"";"";",00";"[,00 , ,00]"
"D7";"SP1 21j oGV34+35 1/5";"Unknown";"22,79";"";",27";"";"22,79";"";"";",27";"[,26 , ,27]"
"D8";"SP1 21j oGV34+35 1/10";"Unknown";"23,88";"";",13";"";"23,88";"";"";",13";"[,13 , ,14]"
"E1";"SP1 21j oGV34+35 1/20";"Unknown";"24,43";"";",09";"";"24,43";"";"";",09";"[,09 , ,10]"
"E2";"SP3 21j oGV34+35 1/5";"Unknown";"24,72";"";",08";"";"24,72";"";"";",08";"[,08 , ,08]"
"E3";"SP3 21j oGV34+35 1/10";"Unknown";"25,60";"";",04";"";"25,60";"";"";",04";"[,04 , ,05]"
"E4";"SP3 21j oGV34+35 1/20";"Unknown";"27,32";"";",01";"";"27,32";"";"";",01";"[,01 , ,02]"
"E5";"Col 10j 31+32 1/5";"Unknown";"25,72";"";",04";"";"25,72";"";"";",04";"[,04 , ,04]"
"E6";"Col 10 j 31+32 1/10";"Unknown";"26,11";"";",03";"";"26,11";"";"";",03";"[,03 , ,03]"
"E7";"Col 10 j 21+31 1/20";"Unknown";"27,01";"";",02";"";"27,01";"";"";",02";"[,02 , ,02]"
"E8";"SP1 10j 31+32 1/5";"Unknown";"25,58";"";",05";"";"25,58";"";"";",05";"[,04 , ,05]"
"F1";"SP1 10 j 31+32 1/10";"Unknown";"26,41";"";",03";"";"26,41";"";"";",03";"[,03 , ,03]"
"F2";"SP1 10 j 31+32 1/20";"Unknown";"27,17";"";",02";"";"27,17";"";"";",02";"[,02 , ,02]"
"F3";"SP3 10j 31+32 1/5";"Unknown";"27,46";"";",01";"";"27,46";"";"";",01";"[,01 , ,01]"
"F4";"SP3 10 j 31+32 1/10";"Unknown";"28,17";"";",01";"";"28,17";"";"";",01";"[,01 , ,01]"
"F5";"SP3 10 j 31+32 1/20";"Unknown";"31,65";"";",00";"";"31,65";"";"";",00";"[,00 , ,00]"
"F6";"Col 21j 31+32 1/5";"Unknown";"26,77";"";",02";"";"26,77";"";"";",02";"[,02 , ,02]"
"F7";"Col 21j 31+32 1/10";"Unknown";"27,92";"";",01";"";"27,92";"";"";",01";"[,01 , ,01]"
"F8";"Col 21j 31+32 1/20";"Unknown";"29,63";"";",00";"";"29,63";"";"";",00";"[,00 , ,00]"
"G1";"SP1 21j 31+32 1/5";"Unknown";"27,51";"";",01";"";"27,51";"";"";",01";"[,01 , ,01]"
"G2";"SP1 21j 31+32 1/10";"Unknown";"28,21";"";",01";"";"28,21";"";"";",01";"[,01 , ,01]"
"G3";"SP1 21j 31+32 1/20";"Unknown";"29,12";"";",00";"";"29,12";"";"";",00";"[,00 , ,00]"
"G4";"SP3 21j 31+32 1/5";"Unknown";"26,55";"";",02";"";"26,55";"";"";",02";"[,02 , ,03]"
"G5";"SP3 21j 31+32 1/10";"Unknown";"27,81";"";",01";"";"27,81";"";"";",01";"[,01 , ,01]"
"G6";"SP3 21j 31+32 1/20";"Unknown";"28,83";"";",01";"";"28,83";"";"";",01";"[,01 , ,01]"
"G7";"Col 10j oGV25+26 1/5";"Unknown";"31,99";"";",00";"";"31,99";"";"";",00";"[,00 , ,00]"
