SDS 2.3	AQ Results	1.0
Filename	Ligom 10.6.2010
PlateID	
Assay Type	Absolute Quantification
Run DateTime	10/6/10 7:56:11 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
94	D22	Sybr1	SYBR	Unknown	20.74704							Automatic			Manual	0.199274													
95	D23	Sybr1	SYBR	Unknown	20.73416							Automatic			Manual	0.199274													
96	D24	Sybr1	SYBR	Unknown	22.693913							Automatic			Manual	0.199274													
75	D3	Sybr1	SYBR	Unknown	22.727362							Automatic			Manual	0.199274													
76	D4	Sybr1	SYBR	Unknown	21.863222							Automatic			Manual	0.199274													
77	D5	Sybr1	SYBR	Unknown	22.65877							Automatic			Manual	0.199274													
78	D6	Sybr1	SYBR	Unknown	24.704002							Automatic			Manual	0.199274													
79	D7	Sybr1	SYBR	Unknown	28.070087							Automatic			Manual	0.199274													
80	D8	Sybr1	SYBR	Unknown	27.489614							Automatic			Manual	0.199274													
81	D9	Sybr1	SYBR	Unknown	29.39569							Automatic			Manual	0.199274													
97	E1	Sybr1	SYBR	Unknown	23.796473							Automatic			Manual	0.199274													
106	E10	Sybr1	SYBR	Unknown	27.267502							Automatic			Manual	0.199274													
107	E11	Sybr1	SYBR	Unknown	26.66595							Automatic			Manual	0.199274													
108	E12	Sybr1	SYBR	Unknown	26.321035							Automatic			Manual	0.199274													
109	E13	Sybr1	SYBR	Unknown	29.136873							Automatic			Manual	0.199274													
110	E14	Sybr1	SYBR	Unknown	29.260216							Automatic			Manual	0.199274													
111	E15	Sybr1	SYBR	Unknown	28.880102							Automatic			Manual	0.199274													
112	E16	Sybr1	SYBR	Unknown	22.460552							Automatic			Manual	0.199274													
113	E17	Sybr1	SYBR	Unknown	22.509598							Automatic			Manual	0.199274								true					
114	E18	Sybr1	SYBR	Unknown	22.575176							Automatic			Manual	0.199274					true								
