,"Well","Fluor","Type","Identifier","Replicate #","Threshold Cycle (Ct)","Ct Mean","Ct Std. Dev","Starting Quantity (SQ)","Log Starting Quantity","SQ Mean","SQ Std. Dev.","Set Point"
,"D12","SYBR","Std","AT1G13450",22,"N/A","00,00","N/A","1,000E-03","-3,000","0,00E+00","0,00E+00","N/A"
,"E01","SYBR","Std","Actin7",5,"29,87","29,66","0,322","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E02","SYBR","Std","Actin7",5,"29,29","29,66","0,322","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E03","SYBR","Std","Actin7",5,"29,83","29,66","0,322","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E04","SYBR","Std","AT1G03370",11,"N/A","00,00","N/A","1,000E-04","-4,000","0,00E+00","0,00E+00","N/A"
,"E05","SYBR","Std","AT1G03370",11,"33,78","33,76","0,030","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E06","SYBR","Std","AT1G03370",11,"33,74","33,76","0,030","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E07","SYBR","Std","AT1G05180",17,"N/A","00,00","N/A","1,000E-04","-4,000","0,00E+00","0,00E+00","N/A"
,"E08","SYBR","Std","AT1G05180",17,"31,20","31,72","0,733","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E09","SYBR","Std","AT1G05180",17,"32,24","31,72","0,733","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E10","SYBR","Std","AT1G13450",23,"N/A","00,00","N/A","1,000E-04","-4,000","0,00E+00","0,00E+00","N/A"
,"E11","SYBR","Std","AT1G13450",23,"35,66","35,66","N/A","1,000E-04","-4,000","1,00E-04","0,00E+00","N/A"
,"E12","SYBR","Std","AT1G13450",23,"N/A","00,00","N/A","1,000E-04","-4,000","0,00E+00","0,00E+00","N/A"
,"F01","SYBR","Std","Actin7",6,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F02","SYBR","Std","Actin7",6,"32,79","32,73","0,088","1,000E-05","-5,000","1,00E-05","0,00E+00","N/A"
,"F03","SYBR","Std","Actin7",6,"32,67","32,73","0,088","1,000E-05","-5,000","1,00E-05","0,00E+00","N/A"
,"F04","SYBR","Std","AT1G03370",12,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F05","SYBR","Std","AT1G03370",12,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F06","SYBR","Std","AT1G03370",12,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F07","SYBR","Std","AT1G05180",18,"33,08","33,08","N/A","1,000E-05","-5,000","1,00E-05","0,00E+00","N/A"
,"F08","SYBR","Std","AT1G05180",18,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F09","SYBR","Std","AT1G05180",18,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F10","SYBR","Std","AT1G13450",24,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F11","SYBR","Std","AT1G13450",24,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"F12","SYBR","Std","AT1G13450",24,"N/A","00,00","N/A","1,000E-05","-5,000","0,00E+00","0,00E+00","N/A"
,"H01","SYBR","Custom1",,1,"N/A","00,00","N/A","0,000E+00","-1#,INF","0,00E+00","0,00E+00","N/A"
,"H02","SYBR","Custom1",,1,"N/A","00,00","N/A","0,000E+00","-1#,INF","0,00E+00","0,00E+00","N/A"
,"H03","SYBR","Custom1",,1,"N/A","00,00","N/A","0,000E+00","-1#,INF","0,00E+00","0,00E+00","N/A"
