,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,D11,SYBR,Unkn,In-6.0(N),25,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E01,SYBR,Unkn,CT-12,5,25.82,25.81,0.093,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E02,SYBR,Unkn,CT-12,5,25.90,25.81,0.093,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E03,SYBR,Unkn,CT-12,5,25.71,25.81,0.093,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E04,SYBR,Unkn,In-12,12,24.48,24.96,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E05,SYBR,Unkn,In-12,12,25.27,24.96,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E06,SYBR,Unkn,In-12,12,25.13,24.96,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E08,SYBR,Unkn,CT-12(N),19,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E09,SYBR,Unkn,CT-12(N),19,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E10,SYBR,Unkn,In-12(N),26,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,E11,SYBR,Unkn,In-12(N),26,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F01,SYBR,Unkn,CT-24,6,27.68,27.66,0.259,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F02,SYBR,Unkn,CT-24,6,27.91,27.66,0.259,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F03,SYBR,Unkn,CT-24,6,27.39,27.66,0.259,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F04,SYBR,Unkn,In-24,13,25.36,25.87,0.462,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F05,SYBR,Unkn,In-24,13,26.26,25.87,0.462,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F06,SYBR,Unkn,In-24,13,25.99,25.87,0.462,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F08,SYBR,Unkn,CT-24(N),20,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F09,SYBR,Unkn,CT-24(N),20,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F10,SYBR,Unkn,In-24(N),27,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,F11,SYBR,Unkn,In-24(N),27,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G01,SYBR,Unkn,CT-48,7,27.16,27.17,0.246,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G02,SYBR,Unkn,CT-48,7,27.42,27.17,0.246,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G03,SYBR,Unkn,CT-48,7,26.93,27.17,0.246,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G04,SYBR,Unkn,In-48,14,24.95,25.80,0.794,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G05,SYBR,Unkn,In-48,14,26.53,25.80,0.794,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G06,SYBR,Unkn,In-48,14,25.91,25.80,0.794,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G08,SYBR,Unkn,CT-48(N),21,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G09,SYBR,Unkn,CT-48(N),21,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G10,SYBR,Unkn,In-48(N),28,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,G11,SYBR,Unkn,In-48(N),28,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
